validation,result,column,pk,detail,source_value,target_value
data_validation,FAIL,Service Start Date,"Account ID='0014600001JLDxOAAX', Order Number='DIST-130869', SKU='IB-SUB-B1-DDI-ADV'",Value mismatch (example 2 of 834),'28/12/2020','12/28/2020'
data_validation,FAIL,Service Start Date,"Account ID='0014600001JLDxOAAX', Order Number='REN-165339', SKU='IB-SUB-B1DDI-BIZ-GR-D'",Value mismatch (example 3 of 834),'28/12/2023','12/28/2023'
data_validation,FAIL,Variance,,834 mismatches in column Variance,,
data_validation,FAIL,Variance,"Account ID='0014600001JL7pYAAT', Order Number='DIST-162680', SKU='IB-SUB-B1DDI-BIZ-GR-G'",Value mismatch (example 1 of 834),'$105.00K','105000.0'
data_validation,FAIL,Variance,"Account ID='0014600001JLDxOAAX', Order Number='DIST-130869', SKU='IB-SUB-B1-DDI-ADV'",Value mismatch (example 2 of 834),'$40.39K','40387.5'
data_validation,FAIL,Variance,"Account ID='0014600001JLDxOAAX', Order Number='REN-165339', SKU='IB-SUB-B1DDI-BIZ-GR-D'",Value mismatch (example 3 of 834),'$42.19K','42187.5'
data_validation,FAIL,"Variance (Adjusted, w/ Late Renewals Extn)",,"834 mismatches in column Variance (Adjusted, w/ Late Renewals Extn)",,
data_validation,FAIL,"Variance (Adjusted, w/ Late Renewals Extn)","Account ID='0014600001JL7pYAAT', Order Number='DIST-162680', SKU='IB-SUB-B1DDI-BIZ-GR-G'",Value mismatch (example 1 of 834),'$105.00K','105000.0'
data_validation,FAIL,"Variance (Adjusted, w/ Late Renewals Extn)","Account ID='0014600001JLDxOAAX', Order Number='DIST-130869', SKU='IB-SUB-B1-DDI-ADV'",Value mismatch (example 2 of 834),'$40.39K','40387.5'
data_validation,FAIL,"Variance (Adjusted, w/ Late Renewals Extn)","Account ID='0014600001JLDxOAAX', Order Number='REN-165339', SKU='IB-SUB-B1DDI-BIZ-GR-D'",Value mismatch (example 3 of 834),'$42.19K','42187.5'
