validation,result,column,pk,detail,source_value,target_value
data_validation,FAIL,rcn emp count,"account id='001R700000H76V7IAJ', order number='DIST-179927', sku='IB-SWTL-ADNS', service start date='12/11/2024'",Value mismatch (example 3 of 29),'1500','5000'
data_validation,FAIL,refresh overlap adj,,2 mismatches in column refresh overlap adj,,
data_validation,FAIL,refresh overlap adj,"account id='0014600001JL7irAAD', order number='DIST-128985', sku='IB-SWTL-ADNS', service start date='11/17/2020'",Value mismatch (example 1 of 2),'-5079.9279799999995','-5079.92798'
data_validation,FAIL,refresh overlap adj,"account id='0014600001JLMEIAA5', order number='FEDR-188643', sku='IB-SWTL-ADNS', service start date='8/24/2025'",Value mismatch (example 2 of 2),'-38589.61366459627','-38589.61366459628'
data_validation,FAIL,region,,1 mismatches in column region,,
data_validation,FAIL,region,"account id='0014600001JLE4eAAH', order number='REN-181132', sku='IB-SWTL-ADNS', service start date='2/4/2025'",Value mismatch (example 1 of 1),'WEUR','NEUR'
data_validation,FAIL,reseller name,,2 mismatches in column reseller name,,
data_validation,FAIL,reseller name,"account id='0014600001JLISpAAP', order number='REN-188079', sku='IB-SWTL-ADNS', service start date='7/29/2025'",Value mismatch (example 1 of 2),'Computacenter - USA','Computacenter United States Inc.'
data_validation,FAIL,reseller name,"account id='0018Y00002qErHmQAK', order number='REN-180376', sku='IB-SWTL-ADNS', service start date='12/31/2024'",Value mismatch (example 2 of 2),'Kirey Security S.r.l .','Kirey S.r.l .'
data_validation,FAIL,sales rep,,22 mismatches in column sales rep,,
data_validation,FAIL,sales rep,"account id='0014600001JLFwXAAX', order number='DIST-178104', sku='IB-SWTL-ADNS', service start date='10/18/2024'",Value mismatch (example 1 of 22),'Apichart Choempraphai','Lee Anstiss'
data_validation,FAIL,sales rep,"account id='0014600001JLG6NAAX', order number='DIST-175259', sku='IB-SWTL-ADNS', service start date='7/24/2024'",Value mismatch (example 2 of 22),'Apichart Choempraphai','Lee Anstiss'
data_validation,FAIL,sales rep,"account id='0014600001JL9YFAA1', order number='DIST-187378', sku='IB-SWTL-ADNS', service start date='7/4/2025'",Value mismatch (example 3 of 22),'Apichart Choempraphai','Lee Anstiss'
data_validation,FAIL,territory id,,1 mismatches in column territory id,,
data_validation,FAIL,territory id,"account id='0014600001JLE4eAAH', order number='REN-181132', sku='IB-SWTL-ADNS', service start date='2/4/2025'",Value mismatch (example 1 of 1),nan,'0MI8Y000000GpLGWA0'
data_validation,FAIL,territory name,,1 mismatches in column territory name,,
data_validation,FAIL,territory name,"account id='0014600001JLE4eAAH', order number='REN-181132', sku='IB-SWTL-ADNS', service start date='2/4/2025'",Value mismatch (example 1 of 1),nan,'BENELUX CAM'
data_validation,FAIL,variance,,15 mismatches in column variance,,
data_validation,FAIL,variance,"account id='0014600001JLNmpAAH', order number='DIST-153573', sku='IB-SWTL-ADNS', service start date='10/29/2022'",Value mismatch (example 1 of 15),'-4158.5599999999995','-4158.56'
data_validation,FAIL,variance,"account id='0014600001JL87XAAT', order number='REN-177269', sku='IB-SWTL-ADNS', service start date='9/29/2024'",Value mismatch (example 2 of 15),'-7821.8599','-7821.859899999999'
data_validation,FAIL,variance,"account id='0014600001JLQPeAAP', order number='DIST-151042', sku='IB-SWTL-ADNS', service start date='7/29/2022'",Value mismatch (example 3 of 15),'-4139.6804351771825','-4139.680435177183'
data_validation,FAIL,"variance (adjusted, w/ late renewals extn)",,"16 mismatches in column variance (adjusted, w/ late renewals extn)",,
data_validation,FAIL,"variance (adjusted, w/ late renewals extn)","account id='0014600001JLNmpAAH', order number='DIST-153573', sku='IB-SWTL-ADNS', service start date='10/29/2022'",Value mismatch (example 1 of 16),'-4158.5599999999995','-4158.56'
data_validation,FAIL,"variance (adjusted, w/ late renewals extn)","account id='0014600001JL87XAAT', order number='REN-177269', sku='IB-SWTL-ADNS', service start date='9/29/2024'",Value mismatch (example 2 of 16),'-7821.8599','-7821.859899999999'
data_validation,FAIL,"variance (adjusted, w/ late renewals extn)","account id='0014600001JLQPeAAP', order number='DIST-151042', sku='IB-SWTL-ADNS', service start date='7/29/2022'",Value mismatch (example 3 of 16),'-4139.6804351771825','-4139.680435177183'
